SK_ID_CURR,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,APARTMENTS_AVG,BASEMENTAREA_AVG,YEARS_BEGINEXPLUATATION_AVG,YEARS_BUILD_AVG,COMMONAREA_AVG,ELEVATORS_AVG,ENTRANCES_AVG,FLOORSMAX_AVG,FLOORSMIN_AVG,LANDAREA_AVG,LIVINGAPARTMENTS_AVG,LIVINGAREA_AVG,NONLIVINGAPARTMENTS_AVG,NONLIVINGAREA_AVG,APARTMENTS_MODE,BASEMENTAREA_MODE,YEARS_BEGINEXPLUATATION_MODE,YEARS_BUILD_MODE,COMMONAREA_MODE,ELEVATORS_MODE,ENTRANCES_MODE,FLOORSMAX_MODE,FLOORSMIN_MODE,LANDAREA_MODE,LIVINGAPARTMENTS_MODE,LIVINGAREA_MODE,NONLIVINGAPARTMENTS_MODE,NONLIVINGAREA_MODE,APARTMENTS_MEDI,BASEMENTAREA_MEDI,YEARS_BEGINEXPLUATATION_MEDI,YEARS_BUILD_MEDI,COMMONAREA_MEDI,ELEVATORS_MEDI,ENTRANCES_MEDI,FLOORSMAX_MEDI,FLOORSMIN_MEDI,LANDAREA_MEDI,LIVINGAPARTMENTS_MEDI,LIVINGAREA_MEDI,NONLIVINGAPARTMENTS_MEDI,NONLIVINGAREA_MEDI,FONDKAPREMONT_MODE,HOUSETYPE_MODE,TOTALAREA_MODE,WALLSMATERIAL_MODE,EMERGENCYSTATE_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR
151603,Cash loans,M,Y,Y,0,135000.0,358344.0,28440.0,283500.0,Unaccompanied,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,0.011703,-11184,-652,-5175.0,-3741,9.0,1,1,0,1,1,0,Laborers,1.0,2,2,FRIDAY,14,0,0,0,0,0,0,Business Entity Type 3,0.1303520573972529,0.5788648567927841,0.4902575124990026,0.0711,0.0594,0.9776,,,0.0,0.1379,0.1667,,0.0604,,0.0643,,0.0022,0.0725,0.0616,0.9777,,,0.0,0.1379,0.1667,,0.0618,,0.067,,0.0023,0.0718,0.0594,0.9776,,,0.0,0.1379,0.1667,,0.0614,,0.0654,,0.0022,,block of flats,0.0552,Panel,No,0.0,0.0,0.0,0.0,-423.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0
173007,Cash loans,F,N,Y,0,126000.0,550489.5,20880.0,454500.0,Unaccompanied,Pensioner,Secondary / secondary special,Single / not married,House / apartment,0.025164,-23266,365243,-10756.0,-5005,,1,0,0,1,0,0,,1.0,2,2,TUESDAY,9,0,0,0,0,0,0,XNA,,0.1555795053186974,,0.1227,0.1158,0.9831,,,0.0,0.2759,0.1667,,0.0739,,0.1145,,0.0,0.125,0.1202,0.9831,,,0.0,0.2759,0.1667,,0.0756,,0.1193,,0.0,0.1239,0.1158,0.9831,,,0.0,0.2759,0.1667,,0.0752,,0.1165,,0.0,,block of flats,0.09,Panel,No,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
347058,Revolving loans,F,N,Y,1,90000.0,180000.0,9000.0,180000.0,Unaccompanied,Working,Higher education,Civil marriage,House / apartment,0.031329,-17572,-918,-4237.0,-1123,,1,1,1,1,1,0,Accountants,3.0,2,2,SUNDAY,17,0,0,0,0,0,0,Government,0.783626980004663,0.4831429018431429,0.7352209993926424,0.0412,0.0773,0.9717,,,0.0,0.1034,0.125,,0.0439,,0.0304,,0.0797,0.042,0.0803,0.9717,,,0.0,0.1034,0.125,,0.0449,,0.0317,,0.0844,0.0416,0.0773,0.9717,,,0.0,0.1034,0.125,,0.0446,,0.031,,0.0814,,block of flats,0.0413,Others,No,0.0,0.0,0.0,0.0,-972.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0
428189,Cash loans,F,N,Y,1,135000.0,855256.5,27720.0,598500.0,Family,Working,Secondary / secondary special,Married,House / apartment,0.02461,-16275,-7992,-10418.0,-4690,,1,1,1,1,1,0,Laborers,3.0,2,2,FRIDAY,14,0,0,0,0,0,0,Medicine,0.7363602745565332,0.6879947474088739,0.5656079814115492,0.0995,0.0843,0.9752,0.6056,,0.0,0.2069,0.125,,0.1044,,0.0874,,0.0128,0.0252,0.0,0.9712,0.621,,0.0,0.069,0.0833,,0.0246,,0.017,,0.0,0.1004,0.0843,0.9752,0.6109,,0.0,0.2069,0.125,,0.1062,,0.0889,,0.013,,block of flats,0.0138,Block,No,3.0,1.0,3.0,0.0,-1439.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4.0
279980,Cash loans,F,N,N,0,90000.0,225000.0,25447.5,225000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Widow,House / apartment,0.04622,-18967,-511,-1513.0,-1567,,1,1,1,1,0,0,Cleaning staff,1.0,1,1,TUESDAY,11,0,0,0,0,0,0,Self-employed,,0.720772208594331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-349.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
183530,Cash loans,M,N,Y,0,112500.0,315000.0,25015.5,315000.0,Other_B,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,0.026392,-10084,-1727,-8441.0,-2043,,1,1,1,1,1,0,Low-skill Laborers,1.0,2,2,MONDAY,13,0,0,0,0,0,0,Business Entity Type 3,,0.3588501985361047,0.6863823354047934,0.1237,0.0956,0.9786,0.7076,0.0551,0.0,0.2759,0.1667,0.2083,0.2705,0.1,0.1036,0.0039,0.001,0.1261,0.0992,0.9786,0.7190000000000001,0.0556,0.0,0.2759,0.1667,0.2083,0.2767,0.1093,0.1079,0.0039,0.001,0.1249,0.0956,0.9786,0.7115,0.0554,0.0,0.2759,0.1667,0.2083,0.2752,0.1018,0.1055,0.0039,0.001,reg oper account,block of flats,0.0928,Panel,No,0.0,0.0,0.0,0.0,-1699.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,6.0
150115,Cash loans,F,N,Y,0,360000.0,302076.0,23508.0,270000.0,Unaccompanied,Working,Higher education,Married,House / apartment,0.072508,-14772,-1205,-1037.0,-5085,,1,1,0,1,0,0,,2.0,1,1,FRIDAY,12,0,0,0,0,0,0,University,0.6582122033866227,0.761677381864289,0.5495965024956946,0.0763,0.0858,0.9742,0.6464,0.1337,0.12,0.1034,0.25,0.0417,0.0583,0.0614,0.0708,0.0039,0.0799,0.0777,0.0891,0.9742,0.6602,0.1349,0.1208,0.1034,0.25,0.0417,0.0596,0.067,0.0738,0.0039,0.0846,0.077,0.0858,0.9742,0.6511,0.1345,0.12,0.1034,0.25,0.0417,0.0593,0.0624,0.0721,0.0039,0.0816,org spec account,block of flats,0.0557,"Stone, brick",No,0.0,0.0,0.0,0.0,-287.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0
399186,Cash loans,F,N,N,0,135000.0,152820.0,13068.0,135000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Separated,House / apartment,0.0038179999999999,-16208,-413,-7307.0,-4100,,1,1,1,1,1,0,Sales staff,1.0,2,2,TUESDAY,5,0,0,0,0,0,0,Trade: type 7,,0.3302490468308744,0.470456116119975,0.0907,,0.9757,,,,,,,,,,,,0.0924,,0.9757,,,,,,,,,,,,0.0916,,0.9757,,,,,,,,,,,,,block of flats,0.0685,Panel,No,2.0,0.0,2.0,0.0,-2447.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,3.0
147240,Cash loans,M,Y,Y,0,112500.0,225000.0,16371.0,225000.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.026392,-21987,365243,-11224.0,-4298,4.0,1,0,0,1,1,0,,2.0,2,2,TUESDAY,10,0,0,0,0,0,0,XNA,,0.7112932979048959,0.2910973802776635,0.0986,,0.9846,,,0.08,0.0345,0.5417,,,,0.0789,,0.0424,0.1008,,0.9846,,,0.0806,0.0345,0.5417,,,,0.0566,,0.0,0.0999,,0.9846,,,0.08,0.0345,0.5417,,,,0.0923,,0.0006,,block of flats,0.0702,"Stone, brick",No,0.0,0.0,0.0,0.0,-185.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,2.0
124407,Cash loans,M,N,Y,0,112500.0,630000.0,32296.5,630000.0,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,0.04622,-12061,-2455,-880.0,-3541,,1,1,1,1,1,0,Laborers,1.0,1,1,MONDAY,10,0,0,0,0,0,0,Business Entity Type 2,,0.6345665172683892,0.7062051096536562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,3.0,0.0,-2115.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0
